,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Crofton Park,51.462680000000034,-0.035579999999924894,Browns Of Brockley,51.464513148722645,-0.03734572959157906,Coffee Shop
1,Crofton Park,51.462680000000034,-0.035579999999924894,Brockley's Rock,51.459456802443434,-0.033867936509008774,Fish & Chips Shop
2,Crofton Park,51.462680000000034,-0.035579999999924894,The Orchard,51.46367844993107,-0.03569929849745856,Gastropub
3,Crofton Park,51.462680000000034,-0.035579999999924894,Waterintobeer,51.46371186211784,-0.0388264860416374,Beer Store
4,Crofton Park,51.462680000000034,-0.035579999999924894,Brockley Brewery (The Brockley Brewing Company),51.46226467810521,-0.03613224829342145,Brewery
5,Crofton Park,51.462680000000034,-0.035579999999924894,Saka Maka,51.464826,-0.036437,Indian Restaurant
6,Crofton Park,51.462680000000034,-0.035579999999924894,Hilly Fields,51.46001017998527,-0.025599002838134766,Park
7,Crofton Park,51.462680000000034,-0.035579999999924894,Masala Wala,51.46565180292109,-0.036007021206329065,Pakistani Restaurant
8,Crofton Park,51.462680000000034,-0.035579999999924894,Telegraph Hill Park,51.46768358904079,-0.045533180236816406,Park
9,Crofton Park,51.462680000000034,-0.035579999999924894,Salthouse Bottles,51.463915652032625,-0.036618386046581096,Beer Store
10,Crofton Park,51.462680000000034,-0.035579999999924894,The Gantry,51.46359657237999,-0.036126583738507294,Gastropub
11,Crofton Park,51.462680000000034,-0.035579999999924894,London Beer Dispensary,51.45469037600079,-0.03718477489964913,Bar
12,Crofton Park,51.462680000000034,-0.035579999999924894,Brockley Market,51.46798006889389,-0.02479471423941355,Farmers Market
13,Crofton Park,51.462680000000034,-0.035579999999924894,The Broca,51.46453398996731,-0.03702789860354155,Coffee Shop
14,Crofton Park,51.462680000000034,-0.035579999999924894,Jones Of Brockley,51.4550388035179,-0.03708484339406376,Gourmet Shop
15,Crofton Park,51.462680000000034,-0.035579999999924894,Rivoli Ballroom,51.45531856229626,-0.037046441710254195,Concert Hall
16,Crofton Park,51.462680000000034,-0.035579999999924894,Meze Mangal,51.46949340691928,-0.02765590551113475,Turkish Restaurant
17,Crofton Park,51.462680000000034,-0.035579999999924894,Pistachios In The Park,51.46014387411361,-0.02426326274871826,Café
18,Crofton Park,51.462680000000034,-0.035579999999924894,The Waverley Arms,51.461404120784486,-0.04704559427824979,Pub
19,Crofton Park,51.462680000000034,-0.035579999999924894,Brickfields,51.46032664029526,-0.03410310774079692,Cocktail Bar
20,Crofton Park,51.462680000000034,-0.035579999999924894,Dark Fluid,51.46798078057207,-0.024662132312665935,Food Truck
21,Crofton Park,51.462680000000034,-0.035579999999924894,Fred's,51.45497520504172,-0.03718816998925826,Coffee Shop
22,Crofton Park,51.462680000000034,-0.035579999999924894,Malaysian Deli,51.45576983414769,-0.03647278909562534,Malay Restaurant
23,Crofton Park,51.462680000000034,-0.035579999999924894,Skehans Freehouse,51.4675365226049,-0.049534454900385355,Pub
24,Crofton Park,51.462680000000034,-0.035579999999924894,The Ivy House,51.45831731063649,-0.05202890531624659,Pub
25,Crofton Park,51.462680000000034,-0.035579999999924894,The Nunhead Gardener,51.4665821,-0.051316,Garden Center
26,Crofton Park,51.462680000000034,-0.035579999999924894,Arlo & Moe,51.45576408137935,-0.036531328438029885,Coffee Shop
27,Crofton Park,51.462680000000034,-0.035579999999924894,The Rose Pub & Kitchen,51.474899,-0.039662,Pub
28,Crofton Park,51.462680000000034,-0.035579999999924894,Cafe Oscar's,51.45643221889006,-0.020194217958707968,Coffee Shop
29,Crofton Park,51.462680000000034,-0.035579999999924894,Ladywell Tavern,51.45648457338962,-0.021502305521404072,Pub
30,Crofton Park,51.462680000000034,-0.035579999999924894,The Royal Albert,51.47524591834529,-0.028764076137044122,Pub
31,Crofton Park,51.462680000000034,-0.035579999999924894,The Beer Shop London,51.46572868439265,-0.057836392903996565,Bar
32,Crofton Park,51.462680000000034,-0.035579999999924894,The Brockley Jack Studio Theatre,51.45338932357617,-0.03827983082353682,Theater
33,Crofton Park,51.462680000000034,-0.035579999999924894,Deptford Greenhouse Cafe,51.47531326162862,-0.028150998264635928,Café
34,Crofton Park,51.462680000000034,-0.035579999999924894,Everest Curry King,51.466011610245914,-0.019656034700388247,Sri Lankan Restaurant
35,Crofton Park,51.462680000000034,-0.035579999999924894,The White Hart,51.47447020117536,-0.04628782069847886,Pub
36,Crofton Park,51.462680000000034,-0.035579999999924894,Red Lion Coffee Co.,51.47623373016064,-0.03707071588512085,Coffee Shop
37,Crofton Park,51.462680000000034,-0.035579999999924894,London Velo,51.47541267198628,-0.02600495254972024,Coffee Shop
38,Crofton Park,51.462680000000034,-0.035579999999924894,Mamma Dough,51.449643456688705,-0.04468042790957369,Pizza Place
39,Crofton Park,51.462680000000034,-0.035579999999924894,Full Nelson,51.474699,-0.025303,Vegetarian / Vegan Restaurant
40,Crofton Park,51.462680000000034,-0.035579999999924894,Villa Toscana,51.46419508373219,-0.0362384734260896,Italian Restaurant
41,Crofton Park,51.462680000000034,-0.035579999999924894,Street Feast Model Market,51.46020945743763,-0.012199022914877357,Street Food Gathering
42,Crofton Park,51.462680000000034,-0.035579999999924894,The Old Nun's Head,51.46499795352497,-0.05915369751535638,Pub
43,Crofton Park,51.462680000000034,-0.035579999999924894,Mughead Coffee,51.47586,-0.035706,Coffee Shop
44,Crofton Park,51.462680000000034,-0.035579999999924894,Brockley London Overground Station,51.4646993433817,-0.03755689240973636,Train Station
45,Crofton Park,51.462680000000034,-0.035579999999924894,The Brookmill,51.4708490045668,-0.02186938195121117,Pub
46,Crofton Park,51.462680000000034,-0.035579999999924894,Babur,51.44738955730938,-0.04183098949219809,Indian Restaurant
47,Crofton Park,51.462680000000034,-0.035579999999924894,Ladywell Fields,51.45357902994656,-0.020084381103515625,Park
48,Crofton Park,51.462680000000034,-0.035579999999924894,Chinwag,51.47516180057072,-0.0354773875318462,Café
49,Crofton Park,51.462680000000034,-0.035579999999924894,Peckham Rye Park,51.456667699496194,-0.06016731262207032,Park
50,Crofton Park,51.462680000000034,-0.035579999999924894,Birdie Num Nums,51.475312213845704,-0.03561179430324963,Café
51,Crofton Park,51.462680000000034,-0.035579999999924894,Spit And Roast,51.466137689772246,-0.01961804498070766,Food Truck
52,Crofton Park,51.462680000000034,-0.035579999999924894,The Rosemary,51.47480950417879,-0.0465970083477194,Hungarian Restaurant
53,Crofton Park,51.462680000000034,-0.035579999999924894,Panda Panda,51.47480027685587,-0.025123484001593935,Sandwich Place
54,Crofton Park,51.462680000000034,-0.035579999999924894,Peckham Bazaar,51.46774822171597,-0.06192702876274431,Mediterranean Restaurant
55,Crofton Park,51.462680000000034,-0.035579999999924894,The Waiting Room,51.478935,-0.025940984,Coffee Shop
56,Crofton Park,51.462680000000034,-0.035579999999924894,Blythe Hill Fields,51.44681950918478,-0.03502733697454199,Park
57,Crofton Park,51.462680000000034,-0.035579999999924894,The Chandos,51.44765933163583,-0.0411812961101532,Pub
58,Crofton Park,51.462680000000034,-0.035579999999924894,Maggie's Kitchen,51.46537957272932,-0.011213018572287086,Café
